asambleista,curul,voto
AGUILAR TORRES MANUEL RAMIRO,74.0,SI
BUSTOS CHILIQUINGA ARCADIO,80.0,SI
ACACHO GONZALEZ PEPE LUIS,83.0,SI
JIMENEZ CABRERA JOSE CLEVER,90.0,SI
ORELLANA MARQUINEZ MAGALI MARGOT,91.0,SI
TIBAN GUALA LOURDES LICENIA,93.0,SI
GUTIERREZ BORBUA FAUSTO GILMAR,100.0,SI
AUQUILLA ORTEGA RAUL VICENTE,101.0,SI
CHICAIZA TOAPANTA WILSON ALFONSO,102.0,SI
DONOSO CHIRIBOGA PATRICIO,103.0,SI
MONCAYO CEVALLOS JOSE RICARDO,104.0,SI
GARCIA CANO LUIGI FRANCISCO,105.0,SI
VILEMA FREIRE ANGEL RAMIRO,112.0,SI
SOLORZANO SARRIA CESAR FAUSTO,114.0,SI
MONTAÑO VALENCIA MAE,115.0,SI
MORETA PANCHEZ MIGUEL ANGEL,116.0,SI
PAEZ BENALCAZAR ANDRES TARQUINO,117.0,SI
SALGADO RIVADENEIRA DIEGO,118.0,SI
TENELEMA ROMERO EDMUNDO RAMIRO,119.0,SI
TORRES TORRES LUIS FERNANDO,120.0,SI
MERA RODRIGUEZ MARIA PAULINA,130.0,SI
CUCALON CAMACHO HENRY EDUARDO,131.0,SI
REYES HIDALGO CRISTINA EUGENIA,132.0,SI
TACLE GALARRAGA MOISES FERNANDO,133.0,SI
SERRANO VITERI MERCEDES MARITZA,134.0,SI
VITERI JIMENEZ CYNTHIA,136.0,SI
MARTILLO GUERRERO PEDRO ANDRES,137.0,SI
ABAD VELEZ RAUL,1.0,NO
ACERO LANCHIMBA ESTHELA LILIANA,2.0,NO
AGUILAR PLACIDO ARMANDO,3.0,NO
MACHUCA MOSCOSO LINDA MARICELA,4.0,NO
AGUIRRE HIDALGO DORA ANDELA,5.0,NO
ALBAN TORRES MARIANA DEL ROCIO,6.0,NO
TORRES CEDEÑO KERLLY ANABEL,7.0,NO
MUÑOZ VICUÑA MARIANGEL,8.0,NO
ANDINO REINOSO MAURO EDMUNDO,9.0,NO
ARCE PLUAS ALEXANDRA MANUELA,10.0,NO
ARIAS RAMIREZ ALBERTO JESUS,11.0,NO
ARREGUI RUEDA MARCIA CECILIA,12.0,NO
BENAVIDES ZAMBRANO ZOILA TERESA,13.0,NO
BERGMANN REYNA CARLOS ALBERTO,14.0,NO
BORJA PEREZ GALO,15.0,NO
BUENDIA HERDOIZA MARIA SOLEDAD,16.0,NO
PAREDES BENAVIDES LIDIA VICTORIA,17.0,NO
QUIMBIULCO BEDON LORENA GABRIELA,18.0,NO
CALLE ANDRADE MARIA AUGUSTA,19.0,NO
CARRILLO BETTY,20.0,NO
CARRION MARIA JOSE,21.0,NO
CARVAJAL AGUIRRE MIGUEL ANGEL,22.0,NO
CASSINELLI CALI JUAN CARLOS,23.0,NO
CAYAMBE TIPAN FAUSTO HERIBERTO,24.0,NO
CEDEÑO ZAMBRANO JOHANNA ELIZABETH,25.0,NO
CHAVEZ CANALES HOLGER EZEQUIEL,26.0,NO
CHICA AREVALO VINICIO VETHOWEN,27.0,NO
CORDOVA ENCALADA EDGAR EDUARDO,28.0,NO
CUESTA RIOS LIUBA ELISA,29.0,NO
DE LA CRUZ BERNARDO HERMAN ULISES,30.0,NO
DE LA CRUZ GASPAR ADRIANA MIOSOTI,31.0,NO
DELGADO CHALA AGUSTIN JAVIER,32.0,NO
FAJARDO MOSQUERA LETTY VANESSA,33.0,NO
FALCONI LOQUI EVELYN PAMELA,34.0,NO
GAGLIARDO LOOR GASTON,35.0,NO
GALVAN GRACIA MARIA ESPERANZA,36.0,NO
MENDOZA DANIEL ISAAC,37.0,NO
GARZON RECAURTE WILLIAM ANTONIO,38.0,NO
SANCHEZ PERALTA EDUARDO JOSE,39.0,NO
GONZALEZ SERRANO MIRYAM CATARINA,40.0,NO
GUAMAN CASTRO ALEX FRANCISCO,41.0,NO
GUAMANGATE ANTE LUIS GILBERTO,42.0,NO
GUDIÑO MENA ZOBEIDA GUISELA,43.0,NO
GUEVARA VILLACRES VERONICA MARGARITA,44.0,NO
GUZMAN OCHOA LILIANA MAURA,45.0,NO
HERNANDEZ ENRIQUEZ VIRGILIO HUMBERTO,46.0,NO
HURTADO ANGULO IVAN JACINTO,47.0,NO
ISSA WAGNER NICOLAS JOSE,48.0,NO
JEREZ PILLA BETTY MARICELA,49.0,NO
JUEZ JUEZ OMAR JUSEPH,50.0,NO
LARA RIVADENEIRA LENIN JOSE,51.0,NO
RIVADENEIRA BURBANO GABRIELA ALEJANDRA,52.0,NO
LARRIVA ALVARADO OSCAR OSWALDO,53.0,NO
LEDESMA ZAMORA OSCAR ALFONSO,54.0,NO
AGUIÑAGA VALLEJO PAOLA MARCELA,55.0,NO
MELO GARZON ESTEBAN ANDRES,56.0,NO
MOROCHO VELAÑA NANCY BEATRIZ,57.0,NO
MUÑOZ AVENDAÑO ROSA ELVIRA,58.0,NO
ALVARADO CARRION ROSANA,59.0,NO
OCLES PADILLA ALEXANDRA,60.0,NO
PABON CARANQUI PAOLA VERENICE,61.0,NO
PADRON SAETEROS GLADYS PAULINA,62.0,NO
BRITO MENDOZA MONICA CRISTINA,63.0,NO
PEÑA CARRASCO DIANA LUCIA,64.0,NO
PEÑA PACHECO XIMENA DEL ROCIO,65.0,NO
QUINCHIGUANGO GISELA,66.0,NO
PONCE LEON XIMENA MERCEDES,67.0,NO
PROAÑO CIFUENTES ROBERTH MAURICIO,68.0,NO
FARFAN APONTE RICHARD WILSON,69.0,NO
JIJON BUENDIA ITALIA LUISA,70.0,NO
BARAHONA REVELO ANITA PATRICIA,71.0,NO
ROBLES ANDRADE DENISSE PRISCILA,72.0,NO
SANCHEZ MIÑO ALEXIS REYNALDO,73.0,NO
CASTILLO VIVANCO JOSE BOLIVAR,75.0,NO
RODRIGUEZ DELGADO MARIA VERONICA,76.0,NO
GARCIA PLUAS BEATRIZ CANDELARIA,77.0,NO
SALAZAR CEDEÑO GUADALUPE DOLORES,78.0,NO
ANDRADE VARELA JUPITER GOZOSO DE LA CRUZ,79.0,NO
CISNEROS SORIA OSWALDO DANIEL,81.0,NO
YANDUN POZO CASTULO RENE,82.0,NO
SANCHEZ ORDOÑEZ MONTGOMERY LUIS,84.0,NO
SANMIGUEL PALACIOS GINA ZITA,85.0,NO
SERRRANO REYES NELSON ALCIDES,86.0,NO
SOLANO MORENO ALEX FABIAN,87.0,NO
LEDESMA ZAMORA DARWIN GERMAN,88.0,NO
TERAN SARZOSA SEGUNDO FAUSTO,94.0,NO
VALAREZO ORDOÑEZ ROCIO DEL CARMEN,95.0,NO
VALLE PINARGOTE BAIRON LEONARDO,96.0,NO
VASCONEZ ARTEAGA ANNY MARLLELY,97.0,NO
VELA CAIZAPANTA ANGEL RAMIRO,98.0,NO
PACHECO ORDOÑEZ BAYRON EDUARDO,99.0,NO
VELA CHERONI MARIA SOLEDAD,106.0,NO
ARGUELLO TROYA BLANCA AZUCENA,107.0,NO
VELASCO ENRIQUEZ CARLOS ALBERTO,108.0,NO
VELIZ BRIONES JOSE FELIX,109.0,NO
VERDUGA CEDEÑO MARY,110.0,NO
VICUÑA MUÑOZ MARIA ALEJANDRA,111.0,NO
POSSO SALGADO LUIS ANTONIO,113.0,NO
VILLACRESES PEÑA OCTAVIO XAVIER ENRIQUE,121.0,NO
VINTIMILLA JARRIN DIEGO ARMANDO,122.0,NO
VITERI GUALINGA CARLOS ELOY,123.0,NO
ZAMBRANO ARTEAGA JOSE RICARDO,124.0,NO
MARIN AVILA MAYTE SORAYA,125.0,NO
ZAMBRANO CASTRO NORALMA ELIZABETH,126.0,NO
ZAMBRANO CHACHA ALBERTO ALEXANDER,127.0,NO
ZAPATA MANTILLA JOSE LEONIDAS,128.0,NO
URIBE LOPEZ FANNY ESTHER,129.0,NO
UMAGINGA GUAMAN CESAR,92.0,ABSTENCION
